character,level,strokes,grade,freq,onyomi,kunyomi,meanings
純,N2,10,6,1044,ジュン,,genuine; purity; innocence; net (profit)
翌,N2,11,6,1070,ヨク,,the following; next
快,N2,7,5,1074,カイ,こころよ.い,cheerful; pleasant; agreeable; comfortable
片,N2,4,6,1076,ヘン,かた-; かた,one-sided; leaf; sheet; right-side kata radical (no. 91)
敬,N2,12,6,1078,ケイ; キョウ,うやま.う,awe; respect; honor; revere
悩,N2,10,8,1084,ノウ,なや.む; なや.ます; なや.ましい; なやみ,trouble; worry; in pain; distress; illness
泉,N2,9,6,1086,セン,いずみ,spring; fountain
皮,N2,5,3,1092,ヒ,かわ,pelt; skin; hide; leather; skin radical (no. 107)
漁,N2,14,4,1094,ギョ; リョウ,あさ.る,fishing; fishery
荒,N2,9,8,1099,コウ,あ.らす; あ.れる; あら.い; すさ.ぶ; すさ.む; あ.らし,laid waste; rough; rude; wild
貯,N2,12,5,1100,チョ,た.める; たくわ.える,savings; store; lay in; keep; wear mustache
硬,N2,12,8,1101,コウ,かた.い,stiff; hard
埋,N2,10,8,1110,マイ,う.める; う.まる; う.もれる; うず.める; うず.まる; い.ける,bury; be filled up; embedded
柱,N2,9,3,1119,チュウ,はしら,pillar; post; cylinder; support
祭,N2,11,3,1124,サイ,まつ.る; まつ.り; まつり,ritual; offer prayers; celebrate; deify; enshrine; worship
袋,N2,11,8,1125,タイ; ダイ,ふくろ,sack; bag; pouch
筆,N2,12,3,1132,ヒツ,ふで,writing brush; writing; painting brush; handwriting
訓,N2,10,4,1134,クン; キン,おし.える; よ.む; くん.ずる,instruction; Japanese character reading; explanation; read
浴,N2,10,4,1136,ヨク,あ.びる; あ.びせる,bathe; be favored with; bask in
童,N2,12,3,1138,ドウ,わらべ,juvenile; child
宝,N2,8,6,1139,ホウ,たから,treasure; wealth; valuables
封,N2,9,8,1143,フウ; ホウ,,seal; closing
胸,N2,10,6,1144,キョウ,むね; むな-,bosom; breast; chest; heart; feelings
砂,N2,9,6,1146,サ; シャ,すな,sand
塩,N2,13,4,1148,エン,しお,salt
賢,N2,16,8,1159,ケン,かしこ.い,intelligent; wise; wisdom; cleverness
腕,N2,12,8,1163,ワン,うで,arm; ability; talent
兆,N2,6,4,1174,チョウ,きざ.す; きざ.し,portent; 10**12; trillion; sign; omen; symptoms
床,N2,7,8,1175,ショウ,とこ; ゆか,bed; counter for beds; floor; padding; tatami
毛,N2,4,2,1179,モウ,け,fur; hair; feather; down
緑,N2,14,3,1180,リョク; ロク,みどり,green
尊,N2,12,6,1181,ソン,たっと.い; とうと.い; たっと.ぶ; とうと.ぶ,revered; valuable; precious; noble; exalted
祝,N2,9,4,1184,シュク; シュウ,いわ.う,celebrate; congratulate
柔,N2,9,8,1187,ジュウ; ニュウ,やわ.らか; やわ.らかい; やわ; やわ.ら,tender; weakness; gentleness; softness
殿,N2,13,8,1199,デン; テン,との; -どの,Mr.; hall; mansion; palace; temple; lord
濃,N2,16,8,1200,ノウ,こ.い,concentrated; thick; dark; undiluted
液,N2,11,5,1210,エキ,,fluid; liquid; juice; sap; secretion
衣,N2,6,4,1214,イ; エ,ころも; きぬ; -ぎ,garment; clothes; dressing
肩,N2,8,8,1215,ケン,かた,shoulder
零,N2,13,8,1217,レイ,ぜろ; こぼ.す; こぼ.れる,zero; spill; overflow; nothing; cipher
幼,N2,5,6,1227,ヨウ,おさな.い,infancy; childhood
荷,N2,10,3,1230,カ,に,baggage; shoulder-pole load; bear (a burden); shoulder (a gun); load; cargo; freight
泊,N2,8,8,1233,ハク,と.まる; と.める,overnight stay; put up at; ride at anchor
黄,N2,11,2,1240,コウ; オウ,き; こ-,yellow
甘,N2,5,8,1248,カン,あま.い; あま.える; あま.やかす; うま.い,sweet; coax; pamper; be content; sugary
臣,N2,7,4,1249,シン; ジン,,retainer; subject
浅,N2,9,4,1253,セン,あさ.い,shallow; superficial; frivolous; wretched; shameful
掃,N2,11,8,1255,ソウ; シュ,は.く,sweep; brush
雲,N2,12,2,1256,ウン,くも; -ぐも,cloud
掘,N2,11,8,1257,クツ,ほ.る,dig; delve; excavate
捨,N2,11,6,1266,シャ,す.てる,discard; throw away; abandon; resign; reject; sacrifice
軟,N2,11,8,1269,ナン,やわ.らか; やわ.らかい,soft
沈,N2,7,8,1271,チン; ジン,しず.む; しず.める,sink; be submerged; subside; be depressed; aloes
凍,N2,10,8,1284,トウ,こお.る; こご.える; こご.る; い.てる; し.みる,frozen; congeal; refrigerate
乳,N2,8,6,1289,ニュウ,ちち; ち,milk; breasts
恋,N2,10,8,1296,レン,こ.う; こい; こい.しい,romance; in love; yearn for; miss; darling
紅,N2,9,6,1299,コウ; ク,べに; くれない; あか.い,crimson; deep red
郊,N2,9,8,1304,コウ,,outskirts; suburbs; rural area
腰,N2,13,8,1306,ヨウ,こし,loins; hips; waist; low wainscoting
炭,N2,9,3,1307,タン,すみ,charcoal; coal
踊,N2,14,8,1308,ヨウ,おど.る,jump; dance; leap; skip
冊,N2,5,6,1313,サツ; サク,ふみ,tome; counter for books; volume
勇,N2,9,4,1319,ユウ,いさ.む,courage; cheer up; be in high spirits; bravery; heroism
械,N2,11,4,1321,カイ,かせ,contraption; fetter; machine; instrument
菜,N2,11,4,1327,サイ,な,vegetable; side dish; greens
珍,N2,9,8,1330,チン,めずら.しい; たから,rare; curious; strange
卵,N2,7,6,1342,ラン,たまご,egg; ovum; spawn; roe
湖,N2,12,3,1344,コ,みずうみ,lake
喫,N2,12,8,1347,キツ,の.む,consume; eat; drink; smoke; receive (a blow)
干,N2,3,6,1349,カン,ほ.す; ほ.し-; -ぼ.し; ひ.る,dry; parch; ebb; recede; interfere; intercede
虫,N2,6,1,1351,チュウ; キ,むし,insect; bug; temper
刷,N2,8,4,1352,サツ,す.る; -ず.り; -ずり; は.く,printing; print; brush
湯,N2,12,3,1356,トウ,ゆ,hot water; bath; hot spring
溶,N2,13,8,1364,ヨウ,と.ける; と.かす; と.く,melt; dissolve; thaw
鉱,N2,13,5,1376,コウ,あらがね,mineral; ore
涙,N2,10,8,1381,ルイ; レイ,なみだ,tears; sympathy
匹,N2,4,8,1384,ヒツ,ひき,equal; head; counter for small animals; roll of cloth
孫,N2,10,4,1388,ソン,まご,grandchild; descendants
鋭,N2,15,8,1395,エイ,するど.い,pointed; sharpness; edge; weapon; sharp; violent
枝,N2,8,5,1401,シ,えだ,bough; branch; twig; limb; counter for branches
塗,N2,13,8,1414,ト,ぬ.る; ぬ.り; まみ.れる,paint; plaster; daub; smear; coating
軒,N2,10,8,1416,ケン,のき,flats; counter for houses; eaves
毒,N2,8,5,1419,ドク,,poison; virus; venom; germ; harm; injury; spite
叫,N2,6,8,1426,キョウ,さけ.ぶ,shout; exclaim; yell
拝,N2,8,6,1443,ハイ,おが.む; おろが.む,worship; adore; pray to
氷,N2,5,3,1450,ヒョウ,こおり; ひ; こお.る,icicle; ice; hail; freeze; congeal
乾,N2,11,8,1453,カン; ケン,かわ.く; かわ.かす; ほ.す; ひ.る; いぬい,drought; dry; desiccate; drink up; heaven; emperor
棒,N2,12,6,1455,ボウ,,rod; stick; cane; pole; club; line
祈,N2,8,8,1462,キ,いの.る,pray; wish
拾,N2,9,3,1479,シュウ; ジュウ,ひろ.う,pick up; gather; find; go on foot; ten
粉,N2,10,5,1484,フン,デシメートル; こ; こな,flour; powder; dust
糸,N2,6,1,1488,シ,いと,thread
綿,N2,14,5,1495,メン,わた,cotton
汗,N2,6,8,1502,カン,あせ,sweat; perspire
銅,N2,14,5,1505,ドウ,あかがね,copper
湿,N2,12,8,1517,シツ; シュウ,しめ.る; しめ.す; うるお.う; うるお.す,damp; wet; moist
瓶,N2,11,8,1528,ビン; ヘイ,かめ,bottle; vial; jar; jug; vat; urn
咲,N2,9,8,1534,ショウ,さ.く; -ざき,blossom; bloom
召,N2,5,8,1540,ショウ,め.す,seduce; call; send for; wear; put on; ride in; buy; eat; drink; catch (cold)
缶,N2,6,8,1543,カン,かま,tin can; container; jar radical (no. 121)
隻,N2,10,8,1546,セキ,,vessels; counter for ships; fish; birds; arrows; one of a pair
脂,N2,10,8,1548,シ,あぶら,fat; grease; tallow; lard; rosin; gum; tar
蒸,N2,13,6,1552,ジョウ; セイ,む.す; む.れる; む.らす,steam; heat; sultry; foment; get musty
肌,N2,6,8,1559,キ,はだ,texture; skin; body; grain
耕,N2,10,5,1568,コウ,たがや.す,till; plow; cultivate
鈍,N2,12,8,1574,ドン,にぶ.い; にぶ.る; にぶ-; なま.る; なまく.ら,dull; slow; foolish; blunt
泥,N2,8,8,1589,デイ; ナイ; デ; ニ,どろ; なず.む,mud; mire; adhere to; be attached to
隅,N2,12,8,1601,グウ,すみ,corner; nook
灯,N2,6,4,1605,トウ,ひ; ほ-; ともしび; とも.す; あかり,lamp; a light; light; counter for lights
辛,N2,7,8,1607,シン,から.い; つら.い; -づら.い; かのと,spicy; bitter; hot; acrid
磨,N2,16,8,1608,マ,みが.く; す.る,grind; polish; scour; improve; brush (teeth)
麦,N2,7,2,1615,バク,むぎ,barley; wheat
姓,N2,8,8,1628,セイ; ショウ,,surname
筒,N2,12,8,1631,トウ,つつ,cylinder; pipe; tube; gun barrel; sleeve
鼻,N2,14,3,1632,ビ,はな,nose; snout
粒,N2,11,8,1635,リュウ,つぶ,grains; drop; counter for tiny particles
詞,N2,12,6,1636,シ,ことば,part of speech; words; poetry
胃,N2,9,6,1647,イ,,stomach; paunch; crop; craw
畳,N2,12,8,1665,ジョウ; チョウ,たた.む; たたみ; かさ.なる,tatami mat; counter for tatami mats; fold; shut up; do away with
机,N2,6,6,1671,キ,つくえ,desk; table
膚,N2,15,8,1679,フ,はだ,skin; body; grain; texture; disposition
濯,N2,17,8,1698,タク,すす.ぐ; ゆす.ぐ,laundry; wash; pour on; rinse
塔,N2,12,8,1708,トウ,,pagoda; tower; steeple
沸,N2,8,8,1709,フツ,わ.く; わ.かす,seethe; boil; ferment; uproar; breed
灰,N2,6,6,1717,カイ,はい,ashes; puckery juice; cremate
菓,N2,11,8,1719,カ,,candy; cakes; fruit
帽,N2,12,8,1742,ボウ; モウ,ずきん; おお.う,cap; headgear
枯,N2,9,8,1749,コ,か.れる; か.らす,wither; die; dry up; be seasoned
涼,N2,11,8,1783,リョウ,すず.しい; すず.む; すず.やか; うす.い; ひや.す; まことに,refreshing; nice and cool
舟,N2,6,8,1786,シュウ,ふね; ふな-; -ぶね,boat; ship
貝,N2,7,1,1787,バイ,かい,shellfish
符,N2,11,8,1798,フ,,token; sign; mark; tally; charm
憎,N2,14,8,1808,ゾウ,にく.む; にく.い; にく.らしい; にく.しみ,hate; detest
皿,N2,5,3,1812,ベイ,さら,dish; a helping; plate
肯,N2,8,8,1813,コウ,がえんじ.る,agreement; consent; comply with
燥,N2,17,8,1819,ソウ,はしゃ.ぐ,parch; dry up
畜,N2,10,8,1824,チク,,livestock; domestic fowl and animals
挟,N2,9,8,1870,キョウ; ショウ,はさ.む; はさ.まる; わきばさ.む; さしはさ.む,pinch; between
曇,N2,16,8,1899,ドン,くも.る,cloudy weather; cloud up
滴,N2,14,8,2019,テキ,しずく; したた.る,drip; drop
伺,N2,7,8,2209,シ,うかが.う,pay respects; visit; ask; inquire; question; implore
