character,level,strokes,grade,freq,onyomi,kunyomi,meanings
庄,N1,6,9,1693,ショウ; ソ; ソウ; ホウ,,level; in the country; manor; village; hamlet
傘,N1,12,8,1694,サン,かさ,umbrella
敦,N1,12,9,1695,トン; タイ; ダン; チョウ,あつ.い,industry; kindliness
騎,N1,18,8,1696,キ,,equestrian; riding on horses; counter for equestrians
寧,N1,14,8,1697,ネイ,むし.ろ,rather; preferably; peaceful; quiet; tranquility
循,N1,12,8,1699,ジュン,,sequential; follow
忍,N1,7,8,1700,ニン,しの.ぶ; しの.ばせる,endure; bear; put up with; conceal; secrete; spy; sneak
怠,N1,9,8,1703,タイ,おこた.る; なま.ける,neglect; laziness
如,N1,6,8,1704,ジョ; ニョ,ごと.し,likeness; like; such as; as if; better; best; equal
寮,N1,15,8,1705,リョウ,,dormitory; hostel; villa; tea pavillion
祐,N1,9,9,1706,ユウ; ウ,たす.ける,help
鵬,N1,19,9,1707,ホウ,おおとり,phoenix
鉛,N1,13,8,1710,エン,なまり,lead
珠,N1,10,8,1711,シュ,たま,pearl; gem; jewel
凝,N1,16,8,1712,ギョウ,こ.る; こ.らす; こご.らす; こご.らせる; こご.る,congeal; freeze; stiff; be absorbed in
苗,N1,8,8,1713,ビョウ; ミョウ,なえ; なわ-,seedling; sapling; shoot
獣,N1,16,8,1714,ジュウ,けもの; けだもの,animal; beast
哀,N1,9,8,1715,アイ,あわ.れ; あわ.れむ; かな.しい,pathetic; grief; sorrow; pathos; pity; sympathize
跳,N1,13,8,1716,チョウ,は.ねる; と.ぶ; -と.び,hop; leap up; spring; jerk; prance; buck; splash; sputter; snap
匠,N1,6,8,1718,ショウ,たくみ,artisan; workman; carpenter
垂,N1,8,6,1720,スイ,た.れる; た.らす; た.れ; -た.れ; なんなんと.す,droop; suspend; hang; slouch
蛇,N1,11,8,1721,ジャ; ダ; イ; ヤ,へび,snake; serpent; hard drinker
澄,N1,15,8,1722,チョウ,す.む; す.ます; -す.ます,lucidity; be clear; clear; clarify; settle; strain; look grave
縫,N1,16,8,1723,ホウ,ぬ.う,sew; stitch; embroider
僧,N1,13,8,1724,ソウ,,Buddhist priest; monk
眺,N1,11,8,1726,チョウ,なが.める,stare; watch; look at; see; scrutinize
亘,N1,6,9,1728,コウ; カン; セン,わた.る; もと.める,span; range; extend over
呉,N1,7,8,1729,ゴ,く.れる; くれ,give; do something for; kingdom of Wu
凡,N1,3,8,1730,ボン; ハン,およ.そ; おうよ.そ; すべ.て,commonplace; ordinary; mediocre
憩,N1,16,8,1731,ケイ,いこ.い; いこ.う,recess; rest; relax; repose
媛,N1,12,4,1735,エン,ひめ,beautiful woman; princess
溝,N1,13,8,1736,コウ,みぞ,gutter; ditch; sewer; drain; 10**32
恭,N1,10,8,1737,キョウ,うやうや.しい,respect; reverent
刈,N1,4,8,1738,ガイ; カイ,か.る,reap; cut; clip; trim; prune
睡,N1,13,8,1739,スイ,ねむ.る; ねむ.い,drowsy; sleep; die
錯,N1,16,8,1740,サク; シャク,,confused; mix; be in disorder
伯,N1,7,8,1741,ハク,,chief; count; earl; uncle; Brazil
笹,N1,11,9,1743,,ささ,bamboo grass; (kokuji)
穀,N1,14,6,1744,コク,,cereals; grain
陵,N1,11,8,1746,リョウ,みささぎ,mausoleum; imperial tomb; mound; hill
霧,N1,19,8,1747,ム; ボウ; ブ,きり,fog; mist
魂,N1,14,8,1748,コン,たましい; たま,soul; spirit
弊,N1,15,8,1750,ヘイ,,abuse; evil; vice; breakage
妃,N1,6,8,1752,ヒ,きさき,queen; princess
舶,N1,11,8,1753,ハク,,liner; ship
餓,N1,15,8,1754,ガ,う.える,starve; hungry; thirst
窮,N1,15,8,1756,キュウ; キョウ,きわ.める; きわ.まる; きわ.まり; きわ.み,hard up; destitute; suffer; perplexed; cornered
掌,N1,12,8,1757,ショウ,てのひら; たなごころ,palm of hand; rule; administer; conduct
麗,N1,19,8,1758,レイ,うるわ.しい; うら.らか,lovely; beautiful; graceful; resplendent
綾,N1,14,9,1759,リン,あや,design; figured cloth; twill
臭,N1,9,8,1760,シュウ,くさ.い; -くさ.い; にお.う; にお.い,stinking; ill-smelling; suspicious looking; odor; savor; fragrance; be fragrant; stink; glow; be bright
悦,N1,10,8,1762,エツ,よろこ.ぶ; よろこ.ばす,ecstasy; joy; rapture
刃,N1,3,8,1763,ジン; ニン,は; やいば; き.る,blade; sword; edge
縛,N1,16,8,1764,バク,しば.る,truss; arrest; bind; tie; restrain
暦,N1,14,8,1765,レキ; リャク,こよみ,calendar; almanac
宜,N1,8,8,1766,ギ,よろ.しい; よろ.しく,best regards; good
盲,N1,8,8,1767,モウ,めくら,blind; blind man; ignoramus
粋,N1,10,8,1768,スイ,いき,chic; style; purity; essence; pith; cream; elite; choice
辱,N1,10,8,1769,ジョク,はずかし.める,embarrass; humiliate; shame
毅,N1,15,9,1770,キ; ギ,つよ.い,strong
轄,N1,17,8,1771,カツ,くさび,control; wedge
猿,N1,13,8,1772,エン,さる,monkey
弦,N1,8,8,1773,ゲン,つる,bowstring; chord; hypotenuse
稔,N1,13,9,1775,ネン; ジン; ニン,みの.る; みのり,harvest; ripen
窒,N1,11,8,1776,チツ,,plug up; obstruct
炊,N1,8,8,1777,スイ,た.く; -だ.き,cook; boil
洪,N1,9,8,1778,コウ,,deluge; flood; vast
摂,N1,13,8,1779,セツ; ショウ,おさ.める; かね.る; と.る,vicarious; surrogate; act in addition to; take in; absorb
飽,N1,13,8,1780,ホウ,あ.きる; あ.かす; あ.く,sated; tired of; bored; satiate
冗,N1,4,8,1782,ジョウ,,superfluous; uselessness
桃,N1,10,8,1784,トウ,もも,peach
狩,N1,9,8,1785,シュ,か.る; か.り; -が.り,hunt; raid; gather
朱,N1,6,8,1788,シュ,あけ,vermilion; cinnabar; scarlet; red; bloody
渦,N1,12,8,1789,カ,うず,whirlpool; eddy; vortex
紳,N1,11,8,1790,シン,,sire; good belt; gentleman
枢,N1,8,8,1791,スウ; シュ,とぼそ; からくり,hinge; pivot; door; center of things
碑,N1,14,8,1792,ヒ,いしぶみ,tombstone; monument
鍛,N1,17,8,1793,タン,きた.える,forge; discipline; train
刀,N1,2,2,1794,トウ,かたな; そり,sword; saber; knife
鼓,N1,13,8,1795,コ,つづみ,drum; beat; rouse; muster
裸,N1,13,8,1796,ラ,はだか,naked; nude; uncovered; partially clothed
猶,N1,12,8,1799,ユウ; ユ,なお,furthermore; still; yet
塊,N1,13,8,1800,カイ; ケ,かたまり; つちくれ,clod; lump; chunk; clot; mass
旋,N1,11,8,1801,セン,め.ぐる; いばり,rotation; go around
弓,N1,3,2,1802,キュウ,ゆみ,"bow; bow (archery, violin)"
幣,N1,15,8,1803,ヘイ,ぬさ,cash; bad habit; humble prefix; gift; Shinto offerings of cloth; rope; cut paper
膜,N1,14,8,1804,マク,,membrane
扇,N1,10,8,1805,セン,おうぎ,fan; folding fan
腸,N1,13,6,1807,チョウ,はらわた; わた,intestines; guts; bowels; viscera
槽,N1,15,8,1809,ソウ,ふね,vat; tub; tank
慈,N1,13,8,1811,ジ,いつく.しむ,mercy
楊,N1,13,9,1815,ヨウ,やなぎ,willow
伐,N1,6,8,1816,バツ; ハツ; カ; ボチ,き.る; そむ.く; う.つ,fell; strike; attack; punish
駿,N1,17,9,1817,シュン; スン,すぐ.れる,a good horse; speed; a fast person
漬,N1,14,8,1818,シ,つ.ける; つ.かる; -づ.け; -づけ,pickling; soak; moisten; steep
糾,N1,9,8,1820,キュウ,ただ.す,twist; ask; investigate; verify
亮,N1,9,9,1821,リョウ,あきらか,clear; help
墳,N1,15,8,1822,フン,,tomb; mound
坪,N1,8,8,1823,ヘイ,つぼ,two-mat area; approx. thirty-six sq ft
紺,N1,11,8,1825,コン,,dark blue; navy
娯,N1,10,8,1827,ゴ,,recreation; pleasure
椿,N1,13,9,1829,チン; チュン,つばき,camellia
舌,N1,6,6,1830,ゼツ,した,tongue; reed; clapper
羅,N1,19,8,1831,ラ,うすもの,gauze; thin silk; Rome; arrange; spread out
峡,N1,9,8,1833,キョウ; コウ,はざま,gorge; ravine
俸,N1,10,8,1834,ホウ,,stipend; salary
厘,N1,9,8,1835,リン,,rin; 1/10 sen; 1/10 bu
峰,N1,10,8,1836,ホウ,みね; ね,summit; peak
圭,N1,6,9,1837,ケイ; ケ,,square jewel; corner; angle; edge
醸,N1,20,8,1838,ジョウ,かも.す,brew; cause
蓮,N1,13,9,1839,レン,はす; はちす,lotus
弔,N1,4,8,1840,チョウ,とむら.う; とぶら.う,condolences; mourning; funeral
乙,N1,1,8,1841,オツ; イツ,おと-; きのと,the latter; duplicate; strange; witty; fishhook radical (no. 5)
汁,N1,5,8,1843,ジュウ,しる; -しる; つゆ,soup; juice; broth; sap; gravy; pus
尼,N1,5,8,1844,ニ,あま,nun
遍,N1,12,8,1845,ヘン,あまね.く,everywhere; times; widely; generally
衡,N1,16,8,1847,コウ,,equilibrium; measuring rod; scale
薫,N1,16,8,1849,クン,かお.る,send forth fragrance; fragrant; be scented; smoke (tobacco)
猟,N1,11,8,1851,リョウ,かり; か.る,game-hunting; shooting; game; bag
羊,N1,6,3,1852,ヨウ,ひつじ,sheep
款,N1,12,8,1854,カン,,goodwill; article; section; friendship; collusion
閲,N1,15,8,1855,エツ,けみ.する,review; inspection; revision
偵,N1,11,8,1857,テイ,,spy
喝,N1,11,8,1858,カツ,,hoarse; scold
敢,N1,12,8,1859,カン,あ.えて; あ.えない; あ.えず,daring; brave; bold; sad; tragic; pitiful
胎,N1,9,8,1861,タイ,,womb; uterus
酵,N1,14,8,1862,コウ,,fermentation
憤,N1,15,8,1863,フン,いきどお.る,aroused; resent; be indignant; anger
豚,N1,11,8,1864,トン,ぶた,pork; pig
遮,N1,14,8,1865,シャ,さえぎ.る,intercept; interrupt; obstruct
扉,N1,12,8,1866,ヒ,とびら,front door; title page; front page
硫,N1,12,8,1867,リュウ,,sulphur
赦,N1,11,8,1868,シャ,ゆる.す,pardon; forgiveness
窃,N1,9,8,1871,セツ,ぬす.む; ひそ.か,stealth; steal; secret; private; hushed
泡,N1,8,8,1872,ホウ,あわ,bubbles; foam; suds; froth
瑞,N1,13,9,1873,ズイ; スイ,みず-; しるし,congratulations
又,N1,2,8,1874,ユウ,また; また-; また.の-,or again; furthermore; on the other hand
慨,N1,13,8,1875,ガイ,なげ.く,rue; be sad; sigh; lament
紡,N1,10,8,1876,ボウ,つむ.ぐ,spinning
恨,N1,9,8,1877,コン,うら.む; うら.めしい,regret; bear a grudge; resentment; malice; hatred
肪,N1,8,8,1878,ボウ,,obese; fat
扶,N1,7,8,1879,フ,たす.ける,aid; help; assist
戯,N1,15,8,1880,ギ; ゲ,たわむ.れる; ざ.れる; じゃ.れる,frolic; play; sport
伍,N1,6,9,1881,ゴ,いつつ,five; five-man squad; file; line
忌,N1,7,8,1882,キ,い.む; い.み; い.まわしい,mourning; abhor; detestable; death anniversary
濁,N1,16,8,1883,ダク; ジョク,にご.る; にご.す,voiced; uncleanness; wrong; nigori; impurity
奔,N1,8,8,1884,ホン,はし.る,run; bustle
斗,N1,4,8,1885,ト; トウ,,Big Dipper; ten sho (vol); sake dipper; dots and cross radical (no. 68)
蘭,N1,19,9,1886,ラン; ラ,,orchid; Holland
迅,N1,6,8,1888,ジン,,swift; fast
肖,N1,7,8,1889,ショウ,あやか.る,resemblance
鉢,N1,13,8,1890,ハチ; ハツ,,bowl; rice tub; pot; crown
朽,N1,6,8,1891,キュウ,く.ちる,decay; rot; remain in seclusion
殻,N1,11,8,1892,カク; コク; バイ,から; がら,husk; nut shell
享,N1,8,8,1893,キョウ; コウ,う.ける,enjoy; receive; undergo; answer (phone); take; get; catch
秦,N1,10,9,1894,シン,はた,Manchu dynasty; name given to naturalized foreigners
茅,N1,8,9,1895,ボウ; ミョウ,かや; ちがや,miscanthus reed
藩,N1,18,8,1896,ハン,,clan; enclosure
沙,N1,7,8,1897,サ; シャ,すな; よなげる,sand
輔,N1,14,9,1898,ホ; フ,たす.ける,help
媒,N1,12,8,1900,バイ,なこうど,mediator; go-between
鶏,N1,19,8,1901,ケイ,にわとり; とり,chicken
禅,N1,13,8,1902,ゼン; セン,しずか; ゆず.る,Zen; silent meditation
嘱,N1,15,8,1903,ショク,しょく.する; たの.む,entrust; request; send a message
胴,N1,10,8,1904,ドウ,,trunk; torso; hull (ship); hub of wheel
迭,N1,8,8,1907,テツ,,transfer; alternation
挿,N1,10,8,1908,ソウ,さ.す; はさ.む,insert; put in; graft; wear (sword)
嵐,N1,12,8,1910,ラン,あらし,storm; tempest
椎,N1,12,8,1911,ツイ; スイ,つち; う.つ,chinquapin; mallet; spine
絹,N1,13,6,1916,ケン,きぬ,silk
陪,N1,11,8,1917,バイ,,obeisance; follow; accompany; attend on
剖,N1,10,8,1918,ボウ,,divide
譜,N1,19,8,1919,フ,,musical score; music; note; staff; table; genealogy
郁,N1,9,9,1920,イク,,cultural progress; perfume
悠,N1,11,8,1921,ユウ,,permanence; distant; long time; leisure
淑,N1,11,8,1922,シュク,しと.やか,graceful; gentle; pure
帆,N1,6,8,1923,ハン,ほ,sail
暁,N1,12,8,1924,ギョウ; キョウ,あかつき; さと.る,daybreak; dawn; in the event
傑,N1,13,8,1926,ケツ,すぐ.れる,greatness; excellence
楠,N1,13,9,1927,ナン; ダン; ゼン; ネン,くす; くすのき,camphor tree
笛,N1,11,3,1928,テキ,ふえ,flute; clarinet; pipe; whistle; bagpipe; piccolo
玲,N1,9,9,1931,レイ,,sound of jewels
奴,N1,5,8,1932,ド,やつ; やっこ,guy; slave; manservant; fellow
錠,N1,16,8,1934,ジョウ,,lock; fetters; shackles
拳,N1,10,8,1935,ケン; ゲン,こぶし,fist
翔,N1,12,9,1936,ショウ,かけ.る; と.ぶ,soar; fly
遷,N1,15,8,1937,セン,うつ.る; うつ.す; みやこがえ,transition; move; change
拙,N1,8,8,1938,セツ,つたな.い,bungling; clumsy; unskillful
侍,N1,8,8,1939,ジ; シ,さむらい; はべ.る,waiter; samurai; wait upon; serve
尺,N1,4,6,1940,シャク; セキ,さし,shaku; Japanese foot; measure; scale; rule
峠,N1,9,8,1941,,とうげ,mountain peak; mountain pass; climax; crest; (kokuji)
篤,N1,16,8,1942,トク,あつ.い,fervent; kind; cordial; serious; deliberate
肇,N1,14,9,1943,チョウ; ジョウ; トウ,はじ.める; はじめ,beginning
渇,N1,11,8,1944,カツ,かわ.く,thirst; dry up; parch
叔,N1,8,8,1950,シュク,,uncle; youth
雌,N1,14,8,1951,シ,め-; めす; めん,feminine; female
亨,N1,7,9,1952,コウ; キョウ; ホウ,とお.る,pass through; go smoothly
堪,N1,12,8,1953,カン; タン,た.える; たま.る; こら.える; こた.える,withstand; endure; support; resist
叙,N1,9,8,1954,ジョ,つい.ず; ついで,confer; relate; narrate; describe
酢,N1,12,8,1955,サク,す,vinegar; sour; acid; tart
吟,N1,7,8,1956,ギン,,versify; singing; recital
逓,N1,10,8,1957,テイ,かわ.る; たがいに,relay; in turn; sending
嶺,N1,17,9,1959,レイ; リョウ,みね,peak; summit
甚,N1,9,8,1961,ジン,はなは.だ; はなは.だしい,tremendously; very; great; exceedingly
喬,N1,12,9,1962,キョウ,たか.い,high; boasting
崇,N1,11,8,1970,スウ,あが.める,adore; respect; revere; worship
漆,N1,14,8,1971,シツ,うるし,lacquer; varnish; seven
岬,N1,8,8,1972,コウ,みさき,headland; cape; spit; promontory
癖,N1,18,8,1973,ヘキ,くせ; くせ.に,mannerism; habit; vice; trait; fault; kink
愉,N1,12,8,1974,ユ,たの.しい; たの.しむ,pleasure; happy; rejoice
寅,N1,11,9,1975,イン,とら,sign of the tiger; 3-5AM; third sign of Chinese zodiac
礁,N1,17,8,1977,ショウ,,reef; sunken rock
乃,N1,2,9,1978,ナイ; ダイ; ノ; アイ,の; すなわ.ち; なんじ,from; possessive particle; whereupon; accordingly
洲,N1,9,9,1979,シュウ; ス,しま,continent; sandbar; island; country
屯,N1,4,8,1980,トン,たむろ,barracks; police station; camp; ton
樺,N1,14,9,1982,カ,かば; かんば,birch; dark red
槙,N1,14,9,1983,テン; シン,まき; こずえ,twig; ornamental evergreen
姻,N1,9,8,1985,イン,,matrimony; marry
巌,N1,20,9,1986,ガン,いわ; いわお; けわ.しい,rock; crag; boulder
擬,N1,17,8,1990,ギ,まが.い; もど.き,mimic; aim (a gun) at; nominate; imitate
塀,N1,12,8,1991,ヘイ; ベイ,,fence; wall; (kokuji)
唇,N1,10,8,1992,シン,くちびる,lips
睦,N1,13,8,1993,ボク; モク,むつ.まじい; むつ.む; むつ.ぶ,intimate; friendly; harmonious
閑,N1,12,8,1994,カン,,leisure
胡,N1,9,9,1995,ウ; コ; ゴ,なんぞ,barbarian; foreign
幽,N1,9,8,1996,ユウ,ふか.い; かす.か; くら.い; しろ.い,seclude; confine to a room; deep; profound; secluded; faint; dark; tranquil; calm
峻,N1,10,9,1997,シュン,けわ.しい; たか.い,high; steep
曹,N1,11,8,1998,ソウ; ゾウ,,office; official; comrade; fellow
詠,N1,12,8,2000,エイ,よ.む; うた.う,recitation; poem; song; composing
卑,N1,9,8,2003,ヒ,いや.しい; いや.しむ; いや.しめる,lowly; base; vile; vulgar; despise
侮,N1,8,8,2004,ブ,あなど.る; あなず.る,scorn; despise; make light of; contempt
鋳,N1,15,8,2005,チュウ; イ; シュ; シュウ,い.る,casting; mint
抹,N1,8,8,2006,マツ,,rub; paint; erase
尉,N1,11,8,2007,イ; ジョウ,,military officer; jailer; old man; rank
槻,N1,15,9,2008,キ,つき,Zelkova tree
隷,N1,16,8,2009,レイ,したが.う; しもべ,slave; servant; prisoner; criminal; follower
禍,N1,13,8,2010,カ,わざわい,calamity; misfortune; evil; curse
蝶,N1,15,9,2011,チョウ,,butterfly
酪,N1,13,8,2012,ラク,,dairy products; whey; broth; fruit juice
茎,N1,8,8,2013,ケイ; キョウ,くき,stalk; stem
帥,N1,9,8,2016,スイ,,commander; leading troops; governor
逝,N1,10,8,2018,セイ,ゆ.く; い.く,departed; die
汽,N1,7,2,2020,キ,,vapor; steam
琢,N1,11,9,2022,タク,みが.く,polish
匿,N1,10,8,2024,トク,かくま.う,hide; shelter; shield
襟,N1,18,8,2030,キン,えり,collar; neck; lapel; one's inner feelings
蛍,N1,11,8,2031,ケイ,ほたる,lightning-bug; firefly
蕉,N1,15,9,2033,ショウ,,banana; plantain
寡,N1,14,8,2035,カ,,widow; minority; few
琉,N1,11,9,2036,リュウ; ル,,precious stone; gem; lapis lazuli
痢,N1,12,8,2037,リ,,diarrhea
庸,N1,11,8,2038,ヨウ,,commonplace; ordinary; employment
朋,N1,8,9,2039,ホウ,とも,companion; friend
坑,N1,7,8,2040,コウ,,pit; hole
藍,N1,18,8,2043,ラン,あい,indigo
賊,N1,13,8,2045,ゾク,,burglar; rebel; traitor; robber
搾,N1,13,8,2046,サク,しぼ.る,squeeze
畔,N1,10,8,2049,ハン,あぜ; くろ; ほとり,paddy ridge; levee
遼,N1,15,9,2050,リョウ,,distant
唄,N1,10,8,2051,バイ,うた; うた.う,song; ballad
孔,N1,4,8,2052,コウ; ク,あな,cavity; hole; slit; very; great; exceedingly
橘,N1,16,9,2053,キツ,たちばな,mandarin orange
漱,N1,14,9,2054,ソウ; シュウ; ス,くちすす.ぐ; くちそそ.ぐ; うがい; すす.ぐ,gargle; rinse mouth
呂,N1,7,8,2055,ロ; リョ,せぼね,spine; backbone
拷,N1,9,8,2057,ゴウ,,torture; beat
嬢,N1,16,8,2059,ジョウ,むすめ,lass; girl; Miss; daughter
苑,N1,8,9,2060,エン; オン,その; う.つ,garden; farm; park
巽,N1,12,9,2061,ソン,たつみ,southeast
杜,N1,7,9,2062,ト; トウ; ズ,もり; ふさ.ぐ; やまなし,woods; grove
渓,N1,11,8,2063,ケイ,たに; たにがわ,mountain stream; valley
翁,N1,10,8,2064,オウ,おきな,venerable old man
廉,N1,13,8,2066,レン,,bargain; reason; charge; suspicion; point; account; purity; honest; low price; cheap; rested; contented; peaceful
謹,N1,17,8,2068,キン,つつし.む,discreet; reverently; humbly
瞳,N1,17,8,2069,ドウ; トウ,ひとみ,pupil (of eye)
湧,N1,12,8,2070,ユウ; ヨウ; ユ,わ.く,boil; ferment; seethe; uproar; breed
欣,N1,8,9,2071,キン; ゴン; コン,よろこ.ぶ; よろこ.び,take pleasure in; rejoice
窯,N1,15,8,2072,ヨウ,かま,kiln; oven; furnace
褒,N1,15,8,2073,ホウ,ほ.める,praise; extol
醜,N1,17,8,2074,シュウ,みにく.い; しこ,ugly; unclean; shame; bad looking
升,N1,4,8,2077,ショウ,ます,measuring box; 1.8 liter
殉,N1,10,8,2080,ジュン,,martyrdom; follow by resigning
煩,N1,13,8,2081,ハン; ボン,わずら.う; わずら.わす; うるさ.がる; うるさ.い,anxiety; trouble; worry; pain; ill; annoy; nuisance; irksome
巴,N1,4,9,2082,ハ,ともえ; うずまき,comma-design
禎,N1,13,9,2083,テイ,さいわ.い,happiness; blessed; good fortune; auspicious
劾,N1,8,8,2085,ガイ,,censure; criminal investigation
堕,N1,12,8,2087,ダ,お.ちる; くず.す; くず.れる,degenerate; descend to; lapse into
租,N1,10,8,2089,ソ,,tariff; crop tax; borrowing
稜,N1,13,9,2091,リョウ; ロウ,いつ; かど,angle; edge; corner; power; majesty
桟,N1,10,8,2093,サン; セン,かけはし,scaffold; cleat; frame; jetty; bolt (door)
倭,N1,10,9,2098,ワ; イ,やまと; したが.う,Yamato; ancient Japan
婿,N1,12,8,2099,セイ,むこ,bridegroom; son-in-law
慕,N1,14,8,2100,ボ,した.う,pining; yearn for; love dearly; adore
斐,N1,12,9,2103,ヒ; イ,,beautiful; patterned
罷,N1,15,8,2104,ヒ,まか.り-; や.める,quit; stop; leave; withdraw; go
矯,N1,17,8,2105,キョウ,た.める,rectify; straighten; correct; reform; cure; control; pretend; falsify
某,N1,9,8,2106,ボウ,それがし; なにがし,so-and-so; one; a certain; that person
囚,N1,5,8,2107,シュウ,とら.われる,captured; criminal; arrest; catch
魁,N1,14,9,2108,カイ,さきがけ; かしら,charging ahead of others
虹,N1,9,8,2110,コウ,にじ,rainbow
鴻,N1,17,9,2111,コウ; ゴウ,おおとり; ひしくい; おおがり,large bird; wild goose; large; great; powerful; prosperous
泌,N1,8,8,2112,ヒツ; ヒ,,ooze; flow; soak in; penetrate; secrete
於,N1,8,9,2113,オ; ヨ,おい.て; お.ける; ああ; より,at; in; on; as for
赳,N1,10,9,2114,キュウ,,strong and brave
漸,N1,14,8,2115,ゼン,ようや.く; やや; ようよ.う; すす.む,steadily; gradually advancing; finally; barely
蚊,N1,10,8,2121,ブン,か,mosquito
葵,N1,12,9,2122,キ,あおい,hollyhock
厄,N1,4,8,2123,ヤク,,unlucky; misfortune; bad luck; disaster
藻,N1,19,8,2124,ソウ,も,seaweed; duckweed
禄,N1,12,9,2126,ロク,さいわ.い; ふち,fief; allowance; pension; grant; happiness
孟,N1,8,9,2127,モウ; ボウ; ミョウ,かしら,chief; beginning
嫡,N1,14,8,2130,チャク; テキ,,legitimate wife; direct descent (non-bastard)
尭,N1,8,9,2136,ギョウ,たか.い,high; far
嚇,N1,17,8,2141,カク,おど.す,menacing; dignity; majesty; threaten
巳,N1,3,9,2142,シ,み,sign of the snake or serpent; 9-11AM; sixth sign of Chinese zodiac
凸,N1,5,8,2143,トツ,でこ,convex; beetle brow; uneven
暢,N1,14,9,2144,チョウ,のび.る,stretch
韻,N1,19,8,2148,イン,,rhyme; elegance; tone
霜,N1,17,8,2151,ソウ,しも,frost
硝,N1,12,8,2154,ショウ,,nitrate; saltpeter
勅,N1,9,8,2157,チョク,いまし.める; みことのり,imperial order
芹,N1,7,9,2158,キン,せり,parsley
杏,N1,7,9,2159,キョウ; アン; コウ,あんず,apricot
棺,N1,12,8,2161,カン,,coffin; casket
儒,N1,16,8,2162,ジュ,,Confucian
鳳,N1,14,9,2163,ホウ; フウ,,male mythical bird
馨,N1,20,9,2164,ケイ; キョウ,かお.る; かおり,fragrant; balmy; favourable
慧,N1,15,9,2168,ケイ; エ,さとい,wise
愁,N1,13,8,2171,シュウ,うれ.える; うれ.い,distress; grieve; lament; be anxious
楼,N1,13,8,2173,ロウ,たかどの,watchtower; lookout; high building
彬,N1,11,9,2174,ヒン; フン,うるわ.しい; あき.らか,refined; gentle
匡,N1,6,9,2176,キョウ; オウ,すく.う; ただ.す,correct; save; assist
眉,N1,9,8,2177,ビ; ミ,まゆ,eyebrow
欽,N1,12,9,2181,キン; コン,つつし.む,respect; revere; long for
薪,N1,16,8,2182,シン,たきぎ; まき,fuel; firewood; kindling
褐,N1,13,8,2186,カツ,,brown; woollen kimono
賜,N1,15,8,2190,シ,たまわ.る; たま.う; たも.う,grant; gift; boon; results
嵯,N1,13,9,2191,サ; シ,,steep; craggy; rugged
綜,N1,14,9,2194,ソウ,おさ.める; す.べる,rule; synthesize
繕,N1,18,8,2195,ゼン,つくろ.う,darning; repair; mend; trim; tidy up; adjust
栓,N1,10,8,2199,セン,,plug; bolt; cork; bung; stopper
翠,N1,14,9,2200,スイ,かわせみ; みどり,green; kingfisher
鮎,N1,16,9,2201,デン; ネン,あゆ; なまず,freshwater trout; smelt
榛,N1,14,9,2205,シン; ハン,はしばみ; はり,hazelnut; filbert
凹,N1,5,8,2206,オウ,くぼ.む; へこ.む; ぼこ,concave; hollow; sunken
艶,N1,19,8,2207,エン,つや; なま.めかしい; あで.やか; つや.めく; なま.めく,glossy; luster; glaze; polish; charm; colorful; captivating
惣,N1,12,9,2211,ソウ,すべ.て,all
蔦,N1,14,9,2215,チョウ,つた,vine; ivy
錬,N1,16,8,2221,レン,ね.る,tempering; refine; drill; train; polish
隼,N1,10,9,2224,シュン; ジュン,はやぶさ,falcon
渚,N1,11,9,2226,ショ,なぎさ,strand; beach; shore
衷,N1,9,8,2229,チュウ,,inmost; heart; mind; inside
逐,N1,10,8,2230,チク,,pursue; drive away; chase; accomplish; attain; commit
斥,N1,5,8,2231,セキ,しりぞ.ける,reject; retreat; recede; withdraw; repel; repulse
稀,N1,12,9,2232,キ; ケ,まれ; まばら,rare; phenomenal; dilute (acid)
芙,N1,7,9,2238,フ,,lotus; Mt Fuji
詔,N1,12,8,2239,ショウ,みことのり,imperial edict
皐,N1,11,9,2240,コウ,さつき,swamp; shore; fifth month
雛,N1,18,9,2241,スウ; ス; ジュ,ひな; ひよこ,chick; squab; duckling; doll
惟,N1,11,9,2246,イ; ユイ,おも.んみる; これ; おも.うに,consider; reflect; think
佑,N1,7,9,2250,ユウ; ウ,たす.ける,help; assist
耀,N1,20,9,2253,ヨウ,かがや.く; ひかり,shine; sparkle; gleam; twinkle
黛,N1,16,9,2254,タイ,まゆずみ,blackened eyebrows
渥,N1,12,9,2257,アク,あつ.い; うるお.う,kindness; moisten
憧,N1,15,8,2259,ショウ; トウ; ドウ,あこが.れる,yearn after; long for; aspire to; admire; adore
宵,N1,10,8,2262,ショウ,よい,wee hours; evening; early night
妄,N1,6,8,2264,モウ; ボウ,みだ.りに,delusion; unnecessarily; without authority; reckless
惇,N1,11,9,2265,シュン; ジュン; トン,あつ.い,sincere; kind; considerate
脩,N1,11,9,2267,シュウ,おさ.める; なが.い; ほじし,dried meat
甫,N1,7,9,2270,ホ; フ,はじ.めて,for the first time; not until
酌,N1,10,8,2271,シャク,く.む,bar-tending; serving sake; the host; draw (water); ladle; scoop; pump
蚕,N1,10,6,2272,サン; テン,かいこ; こ,silkworm
嬉,N1,15,9,2274,キ,うれ.しい; たの.しむ,glad; pleased; rejoice
蒼,N1,13,9,2276,ソウ,あお.い,blue; pale
暉,N1,13,9,2285,キ,かが.やく,shine; light
